epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.575,0.62887,0.45941,0.92666,0.64703,0.74884,0.68371,0.45712,1.11203,0.78402,1.27174,0.000546984,0.000546984,0.000546984
2,249.219,0.67014,0.50477,0.95084,0.71257,0.5875,0.6681,0.43887,1.23491,0.82434,1.34107,0.000993489,0.000993489,0.000993489
3,393.728,0.72776,0.57439,0.97189,0.50473,0.73016,0.65033,0.4317,1.20051,0.86219,1.3031,0.00132997,0.00132997,0.00132997
4,539.883,0.70396,0.60313,0.95297,0.60406,0.69902,0.64683,0.4466,1.10822,0.81124,1.26072,0.0011719,0.0011719,0.0011719
5,685.598,0.72958,0.59127,0.97491,0.56293,0.59372,0.57335,0.38592,1.16288,1.07569,1.29893,0.00100687,0.00100687,0.00100687
6,832.606,0.69822,0.56443,0.97066,0.62685,0.71039,0.70627,0.45921,1.11795,0.77088,1.26663,0.000841835,0.000841835,0.000841835
7,982.651,0.6791,0.52633,0.93331,0.71828,0.66449,0.702,0.47257,1.08267,0.70394,1.26061,0.000676802,0.000676802,0.000676802
8,1136.06,0.66157,0.50877,0.9452,0.69841,0.66252,0.69903,0.46279,1.11238,0.7594,1.26007,0.000511769,0.000511769,0.000511769
9,1289.74,0.64301,0.46423,0.92956,0.6241,0.72108,0.67867,0.45775,1.11427,0.80445,1.26702,0.000346736,0.000346736,0.000346736
10,1442.23,0.65493,0.45383,0.93489,0.71932,0.67093,0.71551,0.48553,1.15555,0.71695,1.29867,0.000181703,0.000181703,0.000181703
